index	raw_category	category	count	nyuId	nyu40id	eigen13id	eigen13fixedid	nyuClass	nyu40class	eigen13class	eigen13fixedclass	ModelNet40	ModelNet10	ShapeNetCore55	synsetoffset	wnsynsetid	wnsynsetkey	mpcat40index	mpcat40	occ_id	occ_class	objnav_occ	objnav_occ_id
351	wash basin	washbasin	6	24	34	7	7	sink	sink	Objects	Objects	sink				n04553920	washbasin.n.01	15	sink	2	occupied	occupied	2
352	celing	ceiling	6	4	22	3	3	ceiling	ceiling	Ceiling	Ceiling					n02990373	ceiling.n.01	17	ceiling	1	unoccupied	unoccupied	1
353	hangers	hanger	6	211	40	7	7	hanger	otherprop	Objects	Objects					n03490884	hanger.n.02	39	objects	2	occupied	occupied	2
354	bushes	bush	6	82	40	7	7	plant	otherprop	Objects	Objects	plant				n13112664	shrub.n.01	14	plant	2	occupied	plant	5
355	floor/other room	floor /otherroom	6	11	2	5	5	floor	floor	Floor	Floor					n03365592	floor.n.01	2	floor	1	unoccupied	unoccupied	1
356	dinner placesetting	place mat	6	154	40	7	7	placemat	otherprop	Objects	Objects					n03952886	place_mat.n.01	39	objects	2	occupied	occupied	2
357	curtain valence	curtain valence	6	89	16	13	13	curtain	curtain	Window	Window	curtain				n03151077	curtain.n.01	12	curtain	2	occupied	occupied	2
358	control	control	6		40	7	7		otherprop	Objects	Objects					n03096960	control.n.09	39	objects	2	occupied	occupied	2
359	tap	tap	6	9	40	7	7	faucet	otherprop	Objects	Objects			faucet	3325088	n04559451	water_faucet.n.01	39	objects	2	occupied	occupied	2
360	shampoo	shampoo	6	548	40	7	7	cleaner	otherprop	Objects	Objects					n04183516	shampoo.n.01	39	objects	2	occupied	occupied	2
361	computer	computer	7	46	40	7	7	computer	otherprop	Objects	Objects					n03082979	computer.n.01	39	objects	2	occupied	occupied	2
362	massage bed	massage bed	6	157	4	1	1	bed	bed	Bed	Bed	bed	bed	bed	2818832	n02818832	bed.n.01	11	bed	2	occupied	bed	4
363	knob	knob	6	652	40	7	7	knob	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
364	door stopper	door stopper	6		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
365	bulletin board	bulletin board	6	408	38	7	7	board	otherstructure	Objects	Objects					n03211616	display_panel.n.01	22	tv_monitor	2	occupied	tv_monitor	7
366	brick archway	archway	6	21	1	12	12	wall	wall	Wall	Wall					n02734217	arch.n.03	4	door	2	occupied	occupied	2
367	fruit bowl	fruit bowl	6	22	40	7	7	bowl	otherprop	Objects	Objects	bowl		bowl	2880940	n02880940	bowl.n.03	39	objects	2	occupied	occupied	2
368	electric wire casing	electric wire casing	5		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
369	bookcase	bookshelf	5	88	10	6	6	bookshelf	bookshelf	Furniture	Furniture	bookshelf		bookshelf	2871439	n02871439	bookshelf.n.01	31	shelving	2	occupied	occupied	2
370	other room	unknown /otherroom	6	20	40	7	7	unknown	otherprop	Objects	Objects					n08632096	unknown.n.01	41	unlabeled	2	occupied	occupied	2
371	exercise machine	exercise equipment	5	457	39	6	6	excercise equipment	otherfurniture	Furniture	Furniture					n04285146	sports_equipment.n.01	33	gym_equipment	2	occupied	occupied	2
372	storage shelving	storage shelving	5	42	15	6	6	shelves	shelves	Furniture	Furniture					n04190052	shelf.n.01	31	shelving	2	occupied	occupied	2
373	coffee maker	coffee maker	5		40	7	7		otherprop	Objects	Objects					n03063338	coffee_maker.n.01	37	appliances	2	occupied	occupied	2
374	shower ceiling	shower ceiling	5	4	22	3	3	ceiling	ceiling	Ceiling	Ceiling					n04208936	shower.n.01	23	shower	1	unoccupied	occupied	2
375	fire alarm	fire alarm	5	338	40	7	7	fire alarm	otherprop	Objects	Objects					n03343737	fire_alarm.n.02	39	objects	2	occupied	occupied	2
376	tissue paper	tissue paper	5	15	26	7	7	paper	paper	Objects	Objects							40	misc	2	occupied	occupied	2
377	projector	projector	5	90	40	7	7	projector	otherprop	Objects	Objects					n04009552	projector.n.02	39	objects	2	occupied	occupied	2
378	coat hanger	coat hanger	5	400	40	7	7	coat hanger	otherprop	Objects	Objects					n03057920	coat_hanger.n.01	39	objects	2	occupied	occupied	2
379	wall cubby	wall cubby	5		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
380	balcony railing	balcony railing	5	497	38	7	7	railing	otherstructure	Objects	Objects							40	misc	2	occupied	occupied	2
381	shelf /w clutter	shelf /w clutter	5	42	15	6	6	shelves	shelves	Furniture	Furniture					n04190052	shelf.n.01	31	shelving	2	occupied	occupied	2
382	case	case	5	851	40	7	7	case	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
383	coat rack	coat rack	5		40	7	7		otherprop	Objects	Objects					n03059103	coatrack.n.01	40	misc	2	occupied	occupied	2
384	pan	pan	5	589	40	7	7	pan	otherprop	Objects	Objects					n03880531	pan.n.01	39	objects	2	occupied	occupied	2
385	fridge	refrigerator	5	17	24	6	6	refridgerator	refridgerator	Furniture	Furniture					n04070727	refrigerator.n.01	37	appliances	2	occupied	occupied	2
386	suitcase	luggage	5	783	40	7	7	luggage	otherprop	Objects	Objects					n02774630	baggage.n.01	39	objects	2	occupied	occupied	2
387	wardrobe rod	closet rod	5		40	7	7		otherprop	Objects	Objects					n04100174	rod.n.01	39	objects	2	occupied	occupied	2
388	hamper	clothes hamper	5	39	40	7	7	basket	otherprop	Objects	Objects			basket	2801938	n03050864	clothes_hamper.n.01	39	objects	2	occupied	occupied	2
389	trinket	trinket	5	844	40	7	7	trinket	otherprop	Objects	Objects					n02787435	bangle.n.02	39	objects	2	occupied	occupied	2
390	c;lothes hangers	clothes hanger	5	211	40	7	7	hanger	otherprop	Objects	Objects					n03057920	coat_hanger.n.01	39	objects	2	occupied	occupied	2
391	paper	paper	5	15	26	7	7	paper	paper	Objects	Objects					n14974264	paper.n.01	39	objects	2	occupied	occupied	2
392	back splash	backsplash	5		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
393	chimney	chimney	5	702	38	7	7	chimney	otherstructure	Objects	Objects					n03017428	chimney.n.01	40	misc	2	occupied	occupied	2
394	arc	arch	5		40	7	7		otherprop	Objects	Objects					n02733524	arch.n.04	40	misc	2	occupied	occupied	2
395	shower bench	shower bench	5	204	39	6	6	bench	otherfurniture	Furniture	Furniture	bench		bench	2828884	n02828884	bench.n.01	34	seating	2	occupied	occupied	2
396	person	person	5	331	31	7	7	person	person	Objects	Objects	person				n05217688	person.n.02	39	objects	2	occupied	occupied	2
397	tablet	tablet	5	19	7	10	10	table	table	Table	Table	table	table	table	4379243	n04379243	table.n.02	5	table	2	occupied	occupied	2
398	exercise mat	exercise mat	5	143	20	5	5	floor mat	floor mat	Floor	Floor					n03727946	mat.n.03	33	gym_equipment	1	unoccupied	occupied	2
399	smoke alarm	smoke alarm	5	525	40	7	7	alarm	otherprop	Objects	Objects					n03343737	fire_alarm.n.02	39	objects	2	occupied	occupied	2
400	kitchen utensils	kitchen utensil	5	267	40	7	7	utensil	otherprop	Objects	Objects					n03621049	kitchen_utensil.n.01	39	objects	2	occupied	occupied	2
401	weights	weight	5		40	7	7		otherprop	Objects	Objects					n04571292	weight.n.02	33	gym_equipment	2	occupied	occupied	2
402	display cabinet	display cabinet	5	3	3	6	6	cabinet	cabinet	Furniture	Furniture			cabinet	2933112	n02933112	cabinet.n.01	7	cabinet	2	occupied	occupied	2
403	showcase	display cabinet	5	3	3	6	6	cabinet	cabinet	Furniture	Furniture			cabinet	2933112	n02933112	cabinet.n.01	7	cabinet	2	occupied	occupied	2
404	bedpost	bedpost	5		40	7	7		otherprop	Objects	Objects					n02821415	bedpost.n.01	11	bed	2	occupied	bed	4
405	file cabinet	file cabinet	5	3	3	6	6	cabinet	cabinet	Furniture	Furniture			cabinet	2933112	n02933112	cabinet.n.01	7	cabinet	2	occupied	occupied	2
406	umbrella	umbrella	5	203	40	7	7	umbrella	otherprop	Objects	Objects					n04507155	umbrella.n.01	39	objects	2	occupied	occupied	2
407	massage table	massage table	5	19	7	10	10	table	table	Table	Table	table	table	table	4379243	n04379243	table.n.02	5	table	2	occupied	occupied	2
408	laundry basket	laundry basket	5	164	40	7	7	laundry basket	otherprop	Objects	Objects			basket	2801938	n03050864	clothes_hamper.n.01	39	objects	2	occupied	occupied	2
409	jar	jar	5	70	40	7	7	jar	otherprop	Objects	Objects			jar	3593526	n03593526	jar.n.01	39	objects	2	occupied	occupied	2
410	exercise bike	exercise bike	5	457	39	6	6	excercise equipment	otherfurniture	Furniture	Furniture					n03302671	exercise_bike.n.01	33	gym_equipment	2	occupied	occupied	2
411	hose	hose	5		40	7	7		otherprop	Objects	Objects					n03539875	hose.n.03	40	misc	2	occupied	occupied	2
412	window dormer	window dormer	5		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
413	closet shelf	closet shelf	5		40	7	7		otherprop	Objects	Objects					n04190052	shelf.n.01	31	shelving	2	occupied	occupied	2
414	power breaker box	power breaker box	5	26	29	7	7	box	box	Objects	Objects							40	misc	2	occupied	occupied	2
415	smoke detector	smoke detector	5		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
416	door knob	door knob	4	27	40	7	7	door knob	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
417	shelf side	shelf	4	42	15	6	6	shelves	shelves	Furniture	Furniture					n04190052	shelf.n.01	31	shelving	2	occupied	occupied	2
418	jacuzzi	jacuzzi	4		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
419	backpack	backpack	4	206	40	7	7	backpack	otherprop	Objects	Objects					n02769748	backpack.n.01	39	objects	2	occupied	occupied	2
420	wooden desk	desk	4	36	14	10	10	desk	desk	Table	Table	desk	desk	table	4379243	n03179701	desk.n.01	5	table	2	occupied	occupied	2
421	bath mat	bath mat	4		40	7	7		otherprop	Objects	Objects					n02807401	bath_mat.n.01	2	floor	2	occupied	unoccupied	1
422	unknown clutter	unknown clutter	4		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
423	hook	hook	4		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
424	sauna wall	wall	4	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
425	elevator	elevator	4		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
426	tool	tool	4		40	7	7		otherprop	Objects	Objects					n04451818	tool.n.01	39	objects	2	occupied	occupied	2
427	recliner	recliner	4	5	5	4	4	chair	chair	Chair	Chair	chair	chair	chair	3001627	n04062428	recliner.n.01	3	chair	2	occupied	chair	3
428	recessed wall	recessed wall	4	21	1	12	12	wall	wall	Wall	Wall							40	misc	2	occupied	occupied	2
429	closet bar	closet rod	4		40	7	7		otherprop	Objects	Objects					n04100174	rod.n.01	39	objects	2	occupied	occupied	2
430	tank	tank	4		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
431	toaster	toaster	4	251	40	7	7	toaster	otherprop	Objects	Objects					n04442312	toaster.n.02	37	appliances	2	occupied	occupied	2
432	toilet brush holder	toilet brush holder	4		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
433	handrail /otherroom	handrail /otherroom	4	453	38	7	7	banister	otherstructure	Objects	Objects					n02788148	bannister.n.02	30	railing	2	occupied	occupied	2
434	landing	landing	6		40	7	7		otherprop	Objects	Objects					n03638511	landing.n.01	2	floor	2	occupied	unoccupied	1
435	book rack	book rack	4	224	39	6	6	bookrack	otherfurniture	Furniture	Furniture							40	misc	2	occupied	occupied	2
436	wall mirror	mirror	4	122	19	7	7	mirror	mirror	Objects	Objects					n03773035	mirror.n.01	21	mirror	2	occupied	occupied	2
437	hunting trophy	hunting trophy	4	547	40	7	7	trophy	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
438	rod	rod	4		40	7	7		otherprop	Objects	Objects					n04100174	rod.n.01	39	objects	2	occupied	occupied	2
439	floor mat	floor mat	4	143	20	5	5	floor mat	floor mat	Floor	Floor					n03727837	mat.n.01	2	floor	1	unoccupied	unoccupied	1
440	motion detector	motion detector	4		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
441	clothing	clothes	4	141	21	7	7	clothes	clothes	Objects	Objects					n02728440	apparel.n.01	38	clothes	2	occupied	occupied	2
442	can of paint	can of paint	4		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
443	medicine cabinet	medicine cabinet	4	3	3	6	6	cabinet	cabinet	Furniture	Furniture			cabinet	2933112	n03742115	medicine_chest.n.01	7	cabinet	2	occupied	occupied	2
444	sensor	sensor	4		40	7	7		otherprop	Objects	Objects					n03180969	detector.n.01	39	objects	2	occupied	occupied	2
445	cart	cart	4	305	40	7	7	cart	otherprop	Objects	Objects					n03484083	handcart.n.01	39	objects	2	occupied	occupied	2
446	slab	slab	4		38	7	7		otherstructure	Objects	Objects					n04233405	slab.n.01	39	objects	2	occupied	occupied	2
447	bean bag chair	bean bag chair	4	5	5	4	4	chair	chair	Chair	Chair	chair	chair	chair	3001627	n03001627	chair.n.01	3	chair	2	occupied	chair	3
448	window valence	window valence	4	89	16	13	13	curtain	curtain	Window	Window	curtain				n03151077	curtain.n.01	12	curtain	2	occupied	occupied	2
449	window /outside	window /outside	4	59	9	13	13	window	window	Window	Window					n04587648	window.n.01	9	window	2	occupied	occupied	2
450	pole	pole	4		40	7	7		otherprop	Objects	Objects					n03976657	pole.n.01	39	objects	2	occupied	occupied	2
451	picture / other room	picture /otherroom	4	64	11	8	8	picture	picture	Picture	Picture					n03931044	picture.n.01	6	picture	2	occupied	occupied	2
452	canister	canister	4	794	40	7	7	canister	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
453	washbasin counter	washbasin counter	4	7	12	6	6	counter	counter	Furniture	Furniture	table	table	table	4379243	n03116530	counter.n.01	26	counter	2	occupied	occupied	2
454	kitchen top	kitchen top	4	7	12	6	6	counter	counter	Furniture	Furniture					n03118245	countertop.n.01	26	counter	2	occupied	occupied	2
455	unknown object	object	4		40	7	7		otherprop	Objects	Objects					n00002684	object.n.01	39	objects	2	occupied	occupied	2
456	pitcher	pitcher	4	273	40	7	7	pitcher	otherprop	Objects	Objects					n03950228	pitcher.n.02	39	objects	2	occupied	occupied	2
457	showerhead	showerhead	4	650	40	7	7	shower head	otherprop	Objects	Objects					n04209383	showerhead.n.01	23	shower	2	occupied	occupied	2
458	podium	podium	4		40	7	7		otherprop	Objects	Objects					n03159640	dais.n.01	39	objects	2	occupied	occupied	2
459	ceiling vent	ceiling vent	4	25	38	7	7	air vent	otherstructure	Objects	Objects					n04526241	vent.n.01	40	misc	2	occupied	occupied	2
460	throw pillow	pillow	4	119	18	7	7	pillow	pillow	Objects	Objects			pillow	3938244	n03938244	pillow.n.01	8	cushion	2	occupied	occupied	2
461	grill	grill	4	700	38	7	7	grill	otherstructure	Objects	Objects					n03459591	grill.n.02	40	misc	2	occupied	occupied	2
462	sink cabinet	sink cabinet	4	3	3	6	6	cabinet	cabinet	Furniture	Furniture			cabinet	2933112	n02933112	cabinet.n.01	7	cabinet	2	occupied	occupied	2
463	tapestry	tapestry	4		40	7	7		otherprop	Objects	Objects					n04393549	tapestry.n.02	39	objects	2	occupied	occupied	2
464	bed sheet	bed sheet	5	559	40	7	7	sheet	otherprop	Objects	Objects					n04188179	sheet.n.03	11	bed	2	occupied	bed	4
465	shade	shade	4		40	7	7		otherprop	Objects	Objects					n04181718	shade.n.03	39	objects	2	occupied	occupied	2
466	doorknob	doorknob	4	27	40	7	7	door knob	otherprop	Objects	Objects					n03222959	doorknob.n.01	4	door	2	occupied	occupied	2
467	stair railing	banister	4	453	38	7	7	banister	otherstructure	Objects	Objects					n02788148	bannister.n.02	30	railing	2	occupied	occupied	2
468	vacuum cleaner	vacuum cleaner	4	306	40	7	7	vacuum cleaner	otherprop	Objects	Objects					n04517823	vacuum.n.04	37	appliances	2	occupied	occupied	2
469	bed comforter	bed comforter	4	484	40	7	7	comforter	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
470	door / other room	door /otherroom	4	28	8	12	12	door	door	Wall	Wall	door				n03221720	door.n.01	4	door	2	occupied	occupied	2
471	pictures	picture	4	64	11	8	8	picture	picture	Picture	Picture					n03931044	picture.n.01	6	picture	2	occupied	occupied	2
472	bed table	bed table	4	19	7	10	10	table	table	Table	Table	table	table	table	4379243	n04379243	table.n.02	5	table	2	occupied	occupied	2
473	shirt	shirt	4		40	7	7		otherprop	Objects	Objects					n04197391	shirt.n.01	38	clothes	2	occupied	occupied	2
474	dressing table	dressing table	4	19	7	10	10	table	table	Table	Table	table	table	table	4379243	n03238586	dressing_table.n.01	5	table	2	occupied	occupied	2
475	shower wall cubby	shower wall cubby	4		40	7	7		otherprop	Objects	Objects					n04208936	shower.n.01	23	shower	2	occupied	occupied	2
476	side wall	wall	4	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
477	beside table	beside table	4	19	7	10	10	table	table	Table	Table	table	table	table	4379243	n04379243	table.n.02	5	table	2	occupied	occupied	2
478	curb	curb	4		40	7	7		otherprop	Objects	Objects					n03149135	curb.n.02	39	objects	2	occupied	occupied	2
479	arches	arch	4		40	7	7		otherprop	Objects	Objects					n02733524	arch.n.04	40	misc	2	occupied	occupied	2
480	storage bin	storage bin	4	812	40	7	7	storage bin	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
481	support beam	support beam	4		40	7	7		otherprop	Objects	Objects					n02815950	beam.n.02	29	beam	2	occupied	occupied	2
482	globe	globe	5	347	40	7	7	globe	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
483	pantry	pantry	4		38	7	7		otherstructure	Objects	Objects					n03885535	pantry.n.01	40	misc	2	occupied	occupied	2
484	skateboard	skateboard	4	408	38	7	7	board	otherstructure	Objects	Objects			skateboard	4225987	n04225987	skateboard.n.01	39	objects	2	occupied	occupied	2
485	stove hood	range hood	4	380	38	7	7	range hood	otherstructure	Objects	Objects	range_hood				n04053677	range_hood.n.01	39	objects	2	occupied	occupied	2
486	cabin	cabin	4		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
487	shower bar	shower bar	4	51	38	7	7	bar	otherstructure	Objects	Objects							40	misc	2	occupied	occupied	2
488	chaise	chaise	4	5	5	4	4	chair	chair	Chair	Chair	chair	chair	chair	3001627	n03002711	chaise_longue.n.01	3	chair	2	occupied	chair	3
489	flower wash	flower vase	4	78	40	7	7	vase	otherprop	Objects	Objects	vase		jar	3593526	n04522168	vase.n.01	39	objects	2	occupied	occupied	2
490	desk and chairs	desk and chairs	4		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
491	plant vase	flower vase	4	78	40	7	7	vase	otherprop	Objects	Objects	vase		jar	3593526	n04522168	vase.n.01	39	objects	2	occupied	occupied	2
492	towel rack	towel rack	4		40	7	7		otherprop	Objects	Objects					n04459773	towel_rack.n.01	40	misc	2	occupied	occupied	2
493	cross	cross	4	49	40	7	7	monitor	otherprop	Objects	Objects					n03857828	oscilloscope.n.01	39	objects	2	occupied	occupied	2
494	sliding door	sliding door	4	28	8	12	12	door	door	Wall	Wall	door				n04239074	sliding_door.n.01	4	door	2	occupied	occupied	2
495	cosmetics	cosmetics	4		40	7	7		otherprop	Objects	Objects					n03113152	cosmetic.n.01	39	objects	2	occupied	occupied	2
496	wall other room	wall /otherroom	4	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
497	kettle	kettle	4	16	40	7	7	pot	otherprop	Objects	Objects					n03612814	kettle.n.01	39	objects	2	occupied	occupied	2
498	junk	junk	4		40	7	7		otherprop	Objects	Objects					n14857897	debris.n.01	39	objects	2	occupied	occupied	2
499	stationery	stationery	3	15	26	7	7	paper	paper	Objects	Objects					n06258852	stationery.n.01	39	objects	2	occupied	occupied	2
500	lights	light	3	144	35	7	7	lamp	lamp	Objects	Objects	lamp		lamp	3636649	n03636649	lamp.n.02	28	lighting	2	occupied	occupied	2
501	window / other room	window /otherroom	3	59	9	13	13	window	window	Window	Window					n04587648	window.n.01	9	window	2	occupied	occupied	2
502	dish cabinet	dish cabinet	3	3	3	6	6	cabinet	cabinet	Furniture	Furniture			cabinet	2933112	n02933112	cabinet.n.01	7	cabinet	2	occupied	occupied	2
503	wall panel	wall panel	3	21	1	12	12	wall	wall	Wall	Wall					n04548503	wall_panel.n.01	1	wall	2	occupied	occupied	2
504	gate	gate	3	223	38	7	7	gate	otherstructure	Objects	Objects					n03427296	gate.n.01	40	misc	2	occupied	occupied	2
505	safe	safe	3	26	29	7	7	box	box	Objects	Objects					n04125021	safe.n.01	39	objects	2	occupied	occupied	2
506	ventilation	ventilation	3		40	7	7		otherprop	Objects	Objects					n04526520	ventilation.n.02	39	objects	2	occupied	occupied	2
507	logs	firewood	3		40	7	7		otherprop	Objects	Objects					n15100644	firewood.n.01	40	misc	2	occupied	occupied	2
508	sliding doors	sliding door	3	28	8	12	12	door	door	Wall	Wall	door				n04239074	sliding_door.n.01	4	door	2	occupied	occupied	2
509	shower rod	shower rod	3		40	7	7		otherprop	Objects	Objects					n04100174	rod.n.01	12	curtain	2	occupied	occupied	2
510	towel shelf	towel shelf	3	42	15	6	6	shelves	shelves	Furniture	Furniture					n04190052	shelf.n.01	31	shelving	2	occupied	occupied	2
511	row of theater chairs	row of theater chairs	3		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
512	closet wall	wall	3	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
513	bath utencils	bath utensil	3	267	40	7	7	utensil	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
514	sconce	sconce	3	62	38	7	7	light	otherstructure	Objects	Objects					n04148703	sconce.n.03	28	lighting	2	occupied	occupied	2
515	garage light	garage light	3	62	38	7	7	light	otherstructure	Objects	Objects							40	misc	2	occupied	occupied	2
516	ceiling beam	beam	3		38	7	7		otherstructure	Objects	Objects					n02815950	beam.n.02	29	beam	2	occupied	occupied	2
517	toolbox	toolbox	3	344	39	6	6	chest	otherfurniture	Furniture	Furniture					n04452615	toolbox.n.01	39	objects	2	occupied	occupied	2
518	sponge stool	stool	3	150	40	7	7	stool	otherprop	Objects	Objects	stool				n04326896	stool.n.01	19	stool	2	occupied	occupied	2
519	security camera	security camera	3	212	40	7	7	security camera	otherprop	Objects	Objects			camera	2942699	n02942699	camera.n.01	39	objects	2	occupied	occupied	2
520	gym machine	exercise equipment	3	457	39	6	6	excercise equipment	otherfurniture	Furniture	Furniture					n04285146	sports_equipment.n.01	33	gym_equipment	2	occupied	occupied	2
521	wall /outside	wall /outside	3	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
522	mantle	mantle	3	874	38	7	7	mantle	otherstructure	Objects	Objects	mantel				n03719343	mantel.n.01	27	fireplace	2	occupied	occupied	2
523	floor 2	floor	3	11	2	5	5	floor	floor	Floor	Floor					n03365592	floor.n.01	2	floor	1	unoccupied	unoccupied	1
524	skirting	skirting	3		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
525	banister	banister	3	453	38	7	7	banister	otherstructure	Objects	Objects					n02788148	bannister.n.02	30	railing	2	occupied	occupied	2
526	lockers	locker	3	3	3	6	6	cabinet	cabinet	Furniture	Furniture					n02933462	cabinet.n.03	40	misc	2	occupied	occupied	2
527	trophy	trophy	3	547	40	7	7	trophy	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
528	tile	tile	3		40	7	7		otherprop	Objects	Objects					n04435180	tile.n.01	39	objects	2	occupied	occupied	2
529	unknown / room below	unknown /otherroom	3	20	40	7	7	unknown	otherprop	Objects	Objects					n08632096	unknown.n.01	41	unlabeled	2	occupied	occupied	2
530	picture car	picture car	3	530	40	7	7	car	otherprop	Objects	Objects	car		car	2958343	n02958343	car.n.01	39	objects	2	occupied	occupied	2
531	outlet	outlet	3		40	7	7		otherprop	Objects	Objects					n04548771	wall_socket.n.01	39	objects	2	occupied	occupied	2
532	plant ridge	plant ridge	3		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
533	backsplash	backsplash	3		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
534	computer monitor	monitor	3	49	40	7	7	monitor	otherprop	Objects	Objects	monitor	monitor	tv or monitor	3211117	n03782190	monitor.n.04	22	tv_monitor	2	occupied	tv_monitor	7
535	doorframe / other room	doorframe /otherroom	3	615	38	7	7	door frame	otherstructure	Objects	Objects					n03222722	doorframe.n.01	4	door	2	occupied	occupied	2
536	shower wall /otherroom	shower wall /otherroom	3	21	1	12	12	wall	wall	Wall	Wall					n04208936	shower.n.01	23	shower	2	occupied	occupied	2
537	shelves with wine	shelving	3	42	15	6	6	shelves	shelves	Furniture	Furniture					n04190052	shelf.n.01	31	shelving	2	occupied	occupied	2
538	shoe	shoe	3	149	40	7	7	shoe	otherprop	Objects	Objects					n04199027	shoe.n.01	39	objects	2	occupied	occupied	2
539	hedge	hedge	3		40	7	7		otherprop	Objects	Objects					n03511175	hedge.n.01	40	misc	2	occupied	occupied	2
540	glass window	window	3	59	9	13	13	window	window	Window	Window					n04587648	window.n.01	9	window	2	occupied	occupied	2
541	sofachair	sofa chair	3	5	5	4	4	chair	chair	Chair	Chair	chair	chair	chair	3001627	n03001627	chair.n.01	3	chair	2	occupied	chair	3
542	hand soap	hand soap	3	133	40	7	7	soap	otherprop	Objects	Objects					n04253437	soap.n.01	39	objects	2	occupied	occupied	2
543	window blinds	blinds	3	80	13	13	13	blinds	blinds	Window	Window					n04589190	window_blind.n.01	32	blinds	2	occupied	occupied	2
544	flower vase	flower vase	3	78	40	7	7	vase	otherprop	Objects	Objects	vase		jar	3593526	n04522168	vase.n.01	39	objects	2	occupied	occupied	2
545	appliance	appliance	3		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
546	christmas tree	christmas tree	3		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
547	support column	column	3	94	38	7	7	column	otherstructure	Objects	Objects					n03074380	column.n.06	40	misc	2	occupied	occupied	2
548	dish	plate	3	233	40	7	7	plate	otherprop	Objects	Objects					n03959485	plate.n.04	39	objects	2	occupied	occupied	2
549	closet floor	closet floor	3	11	2	5	5	floor	floor	Floor	Floor							40	misc	1	unoccupied	occupied	2
550	celling	ceiling	3	4	22	3	3	ceiling	ceiling	Ceiling	Ceiling					n02990373	ceiling.n.01	17	ceiling	1	unoccupied	unoccupied	1
551	stuffed animals	stuffed animal	3	177	40	7	7	stuffed animal	otherprop	Objects	Objects					n04399382	teddy.n.01	39	objects	2	occupied	occupied	2
552	casket	casket	3		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
553	rowing machine	exercise machine	3	220	40	7	7	machine	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
554	dining table centerpiece	dining table centerpiece	3	878	40	7	7	centerpiece	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
555	bedside lamp	bedside lamp	5	144	35	7	7	lamp	lamp	Objects	Objects	lamp		lamp	3636649	n03636649	lamp.n.02	28	lighting	2	occupied	occupied	2
556	kitchen countertop item	kitchen countertop item	3		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
557	fountain	fountain	3		40	7	7		otherprop	Objects	Objects					n03388043	fountain.n.01	40	misc	2	occupied	occupied	2
558	window glass	window glass	3	612	38	7	7	glass	otherstructure	Objects	Objects					n03881893	pane.n.01	39	objects	2	occupied	occupied	2
